start_command, 2022-11-19 09:48:20.577262, 404180238, Odin26, /start
set_interval, 2024-03-19 19:48:33.039879, 404180238, Odin26, /setInterval
set_interval, 2024-03-19 19:48:49.206820, 404180238, Odin26, /setInterval
set_symbol, 2024-03-19 21:14:14.520403, 404180238, Odin26, /setSymol
set_symbol, 2024-03-19 21:14:37.989825, 404180238, Odin26, /setSymol  NVDA
set_symbol, 2024-03-19 22:06:28.095175, 404180238, Odin26, /setSymbol  NVDA
set_symbol, 2024-03-19 22:07:09.751357, 404180238, Odin26, /setSymbol  TSLA
set_symbol, 2024-03-19 22:07:23.163259, 404180238, Odin26, /setSymbol  NVDA12
set_symbol, 2024-03-19 22:10:57.703310, 404180238, Odin26, /setSymbol  NVDA12
set_symbol, 2024-03-19 22:11:56.305303, 404180238, Odin26, /setSymbol  NVDA12
set_interval, 2024-03-19 22:14:42.678286, 404180238, Odin26, /setInterval
set_symbol, 2024-03-19 22:15:00.970092, 404180238, Odin26, /setSymbol
set_symbol, 2024-03-19 22:15:25.162240, 404180238, Odin26, /setSymbol  NVDA
set_symbol, 2024-03-19 22:15:34.335918, 404180238, Odin26, /setSymbol  NVDA12
set_symbol, 2024-03-20 15:01:25.460335, 404180238, Odin26, /setSymbol  NVDA
set_symbol, 2024-03-20 15:02:09.295204, 404180238, Odin26, /setSymbol  NVDA
start_command, 2024-03-20 18:19:43.889439, 404180238, Odin26, /start
start_command, 2024-03-20 18:25:22.523168, 404180238, Odin26, /start
settings_command, 2024-03-20 18:25:24.869200, 404180238, Odin26, /settings
settings_command, 2024-03-20 18:27:26.180909, 404180238, Odin26, /settings
settings_command, 2024-03-20 18:27:41.814638, 404180238, Odin26, /settings
settings_command, 2024-03-20 18:27:47.539958, 404180238, Odin26, /settings
prediction_command, 2024-03-20 18:38:19.381704, 404180238, Odin26, /prediction
load_command, 2024-03-20 18:38:22.534134, 404180238, Odin26, /load
load_command, 2024-03-20 18:38:46.189102, 404180238, Odin26, /load
load_command, 2024-03-20 18:41:22.316748, 404180238, Odin26, /load
start_command, 2024-03-20 18:51:19.360533, 517311202, “имур, /start
load_command, 2024-03-20 18:52:16.262849, 517311202, “имур, /load
set_interval_command, 2024-03-20 18:52:18.810925, 517311202, “имур, /setInterval
settings_command, 2024-03-20 18:52:24.994350, 517311202, “имур, /settings
settings_command, 2024-07-25 14:07:11.894129, 404180238, Odin26, /settings
set_symbol_command, 2024-07-25 14:07:57.883466, 404180238, Odin26, /setSymbol ^IXIC
settings_command, 2024-07-25 14:08:31.243924, 404180238, Odin26, /settings
start_command, 2024-07-25 14:08:56.031697, 404180238, Odin26, /Start
hello_command, 2024-07-25 14:09:04.228677, 404180238, Odin26, /hello
load_command, 2024-07-25 14:09:30.242897, 404180238, Odin26, /load
prediction_command, 2024-07-25 14:09:44.674082, 404180238, Odin26, /prediction
set_symbol_command, 2024-07-25 14:10:37.318790, 404180238, Odin26, /setsymbol BTC-USD
load_command, 2024-07-25 14:10:49.307445, 404180238, Odin26, /load
prediction_command, 2024-08-08 13:19:56.508054, 404180238, Odin26, /prediction
set_symbol_command, 2024-08-11 15:26:45.098362, 404180238, Odin26, /setsymbol MSTF
settings_command, 2024-08-11 15:27:07.978409, 404180238, Odin26, /settings
prediction_command, 2024-08-11 15:27:15.058369, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:32:03.326786, 404180238, Odin26, /prediction
settings_command, 2024-08-11 15:36:22.478779, 404180238, Odin26, /settings
prediction_command, 2024-08-11 15:36:27.692171, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:41:31.362926, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:43:36.573976, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:46:01.556561, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:48:00.568945, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:50:06.464225, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:51:16.685672, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:52:53.481468, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:53:56.654169, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 15:57:40.968609, 404180238, Odin26, /prediction
settings_command, 2024-08-11 16:00:35.953233, 404180238, Odin26, /settings
set_symbol_command, 2024-08-11 16:00:51.450091, 404180238, Odin26, /setsymbol MSFT
prediction_command, 2024-08-11 16:01:00.251522, 404180238, Odin26, /prediction
set_interval_command, 2024-08-11 16:02:03.895975, 404180238, Odin26, /setInterval 1mo
prediction_command, 2024-08-11 16:02:10.934418, 404180238, Odin26, /prediction
set_symbol_command, 2024-08-11 16:02:48.833226, 404180238, Odin26, /setsymbol BTC-USD
prediction_command, 2024-08-11 16:02:56.101323, 404180238, Odin26, /prediction
prediction_command, 2024-08-11 16:05:50.662256, 404180238, Odin26, /prediction
